2
10 1 1 250 1066 815 0 5
8 0 1531 896 80 10
11 0 10 250 150 945 0 0
8 0 0 0 0 0
4 1 1037.55 989 1.675 5
4 1 1266.32 989 2.177 5
4 1 1641.35 989 -2.222 5
2 0 387 889 0 0
8 0 -13 950 -80 10
2 0 877 938 0 0
8 0 717 969 -80 8
2 0 1440 889 0 0
8 0 960 960 -80 10
5 1 473 971
5 1 745 971
5 1 1114 971
5 1 1505 883
6 1 271 969
6 1 1361 969
6 1 996 862
6 1 546 1013
7 3 1 0 820
7 3 1 1877 820
7 3 1 0 863
7 3 1 1877 863
7 3 1 0 906
7 3 1 1877 906
7 3 1 0 949
7 3 1 1877 949
7 3 1 0 992
7 3 1 1877 992
7 1 1 344 947
7 1 1 344 991
7 1 1 215 991
7 2 1 946 884
7 3 1 946 905
7 3 1 946 948
7 1 1 860 991
7 1 1 1419 947
7 1 1 1333 991
7 1 1 1462 991
